Product Name,Category,Price,Rating,Product Image URL,Product Link,Available
"FUNKISH Beard, Mustache, Haircut, Trimmer Head and Body Hair Shaver For Men  Runtime: 20 min Trimmer for Women",Personal Care,146,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/3/d/0/-original-imahgg3tjhbhqegy.jpeg?q=60,https://www.shopsy.in/funkish-beard-mustache-haircut-trimmer-head-and-body-hair-shaver-for-men-runtime-20-min-trimmer-for-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
L'Oréal Paris Total Repair 5 Shampoo 650ml + Conditioner 175ml + Serum 40ml,Personal Care,418,4.4,https://rukminim3.flixcart.com/image/546/564/xif0q/combo-kit/1/n/c/-original-imagyztqdpmy22ty.jpeg?q=60,https://www.shopsy.in/loréal-paris-total-repair-5-shampoo-650ml-conditioner-175ml-serum-40ml/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
"AroMine Premium 100% Natural Beard Growth Oil-( Lavender & Cedarwood ) Hair Oil (30 ml) - No SLS, No Paraben Hair Oil",Personal Care,111,4,https://rukminim3.flixcart.com/image/546/564/kdhphu80/hair-oil/5/p/c/30-premium-100-natural-beard-growth-oil-lavender-cedarwood-hair-original-imafud4cem2uc9av.jpeg?q=60,https://www.shopsy.in/aromine-premium-100-natural-beard-growth-oil-lavender-cedarwood-hair-oil-30-ml-no-sls-no-paraben-hair-oil/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Dominaro Supar Strong Beard Growth Oil For Pachy Beard Oil 30ml Hair Oil,Personal Care,144,4.2,https://rukminim3.flixcart.com/image/546/564/kcjexe80/hair-oil/t/u/k/30-supar-strong-beard-growth-oil-for-pachy-beard-oil-30ml-original-imaftnd2zxygxknd.jpeg?q=60,https://www.shopsy.in/dominaro-supar-strong-beard-growth-oil-for-pachy-beard-oil-30ml-hair-oil/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Dravida Organics Argan Rich Beard Growth Oil Hair Oil,Personal Care,106,4,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-hair-oil/h/6/g/30-argan-rich-beard-growth-oil-dravida-organics-original-imagtxmtykzpzgug.jpeg?q=60,https://www.shopsy.in/dravida-organics-argan-rich-beard-growth-oil-hair-oil/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
RND Beard Oil Conditione0 ml) Hair Oil,Personal Care,120,3.8,https://rukminim3.flixcart.com/image/546/564/kx7vc7k0/hair-oil/1/n/g/30-beard-oil-conditioner-all-natural-organic-argan-jojoba-oils-original-imag9px2nmmtgmrz.jpeg?q=60,https://www.shopsy.in/rnd-beard-oil-conditione0-ml-hair-oil/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
LAVNIK Trimmer HTC AT 528 NEW TRIMMER Hair Cutting Saving Classic Machine Trimmer  Runtime: 60 min Trimmer for Men & Women,Personal Care,300,3.8,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/g/t/b/-original-imahgg3tgwmx95ah.jpeg?q=60,https://www.shopsy.in/lavnik-trimmer-htc-at-528-new-trimmer-hair-cutting-saving-classic-machine-trimmer-runtime-60-min-trimmer-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
"Amola Newly Launched Best Xcuality At 509 Trimmer Face, Hair, Bodi - All-In-One Professional Styling Trimmer, Bodi Groomer, Nose & Ear Hair Trimming, Hair Clippers, Beard Combs  Runtime: 90 min Trimmer for Men & Women",Personal Care,330,3.9,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/v/v/n/trimmer-0-5-12-mm-stainless-steel-newly-launched-best-xcuality-original-imahfskdhtuzwnsa.jpeg?q=60,https://www.shopsy.in/amola-newly-launched-best-xcuality-at-509-trimmer-face-hair-bodi-all-in-one-professional-styling-trimmer-bodi-groomer-nose-ear-hair-trimming-hair-clippers-beard-combs-runtime-90-min-trimmer-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
FINARO hair trimmer hair cutting machine men | beard trimmer | shaving machine  Runtime: 45 min Trimmer for Men & Women,Personal Care,151,3.8,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/1/n/p/trimmer-0-25-9-mm-stainless-steel-face-hair-removal-machine-original-imah734uhgxphqdw.jpeg?q=60,https://www.shopsy.in/finaro-hair-trimmer-hair-cutting-machine-men-beard-trimmer-shaving-machine-runtime-45-min-trimmer-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
ED EXDAS Professional Salon Style Hair Dryer for Men and Women 2 Speed Hair Dryer,Personal Care,260,3.8,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-hair-dryer/3/l/3/professional-salon-style-hair-dryer-for-men-and-women-2-speed-ed-original-imahd2qbzrgpz9na.jpeg?q=60,https://www.shopsy.in/ed-exdas-professional-salon-style-hair-dryer-for-men-and-women-2-speed-hair-dryer/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
